gene,log2FC,p_value,q_value
TNFSF14,-1.158309,7.202095930728115e-09,3.394013162454343e-08
CEBPD,-0.1512511,7.298934910279209e-09,3.4363687884824704e-08
TMEM132B,0.12837891,7.3057200443137325e-09,3.4363687884824704e-08
AVIL,-0.21090768,7.389786921510339e-09,3.4726442300330544e-08
GRM2,0.3088148,7.462277349161291e-09,3.503416595850371e-08
TNFAIP2,-0.124908656,7.57620325973039e-09,3.553566256909189e-08
CLEC5A,-0.577658,7.619071516155828e-09,3.570324046933378e-08
S100A4,-0.2986528,7.762800919372007e-09,3.6342700933389545e-08
STARD4,0.18153597,7.852095834567741e-09,3.670841083842167e-08
ADCY8,-0.16308765,7.855599919422238e-09,3.670841083842167e-08
ITGB7,-0.26784894,7.913028542162167e-09,3.6942243427461095e-08
IGF2BP2,-0.45064235,8.320473224277221e-09,3.880817735203928e-08
FOSL1,-0.35022017,8.584918406346718e-09,4.00042796195094e-08
CASS4,-0.20280308,8.690837975190517e-09,4.0460139549304083e-08
RDH5,-0.18177848,8.965055180440951e-09,4.169793107181838e-08
HGF,-0.32647827,9.000864462236878e-09,4.182557835611932e-08
CHRNA4,0.19320197,9.083929483835398e-09,4.2172374576766004e-08
ACCN1,0.34947777,9.243070329076239e-09,4.287138371556697e-08
GBX2,-0.35026494,9.368356189783032e-09,4.3411054003774466e-08
ETV5,0.12715271,9.376787664815284e-09,4.3411054003774466e-08
CACNG4,0.119011864,9.462802616609406e-09,4.376874475767533e-08
GPR17,0.2031913,9.621695114517604e-09,4.446254673991499e-08
LRRN4CL,-0.33949003,1.007804844082965e-08,4.652838615341482e-08
MYT1,0.17463559,1.02728391974861e-08,4.738394463785101e-08
AGMAT,-0.26265144,1.0327202993458456e-08,4.759079720487768e-08
SH2D6,0.38467798,1.0382029971742398e-08,4.7799401343197046e-08
GRIN1,0.26467696,1.0645092608475447e-08,4.896546738029184e-08
WDR49,-0.2499375,1.0686124407626808e-08,4.910902760857908e-08
YSK4,-0.8272028,1.0713932223762425e-08,4.9191608006255393e-08
PTGIS,0.20459667,1.0900128827645254e-08,5.000059095250117e-08
psiTPTE22,-0.367686,1.1103060602561151e-08,5.0884787362791706e-08
HFE,-0.23976736,1.115133648949177e-08,5.1059233010493453e-08
SAMD9,-0.13512734,1.1189311510830244e-08,5.118623746948877e-08
NBLA00301,-1.3259885,1.1766921166456632e-08,5.377934719587126e-08
SNAI1,-0.3085605,1.1783519465118687e-08,5.380602495487985e-08
LRRC17,-0.17955612,1.1816282405935357e-08,5.3906397837296334e-08
CXCL13,0.8070468,1.220552501990885e-08,5.5631381129940065e-08
HTR2A,0.3051871,1.2307058219957014e-08,5.604307021838349e-08
GUCY1B2,0.72878,1.247009804905962e-08,5.673384007761429e-08
PTPN22,-0.553726,1.2503628084162475e-08,5.681866283259616e-08
PKP2,0.3185409,1.2511469555737676e-08,5.681866283259616e-08
RDH10,-0.12632187,1.2598950645340036e-08,5.7164022891742445e-08
IL1RAPL1,0.2745273,1.2654780693568644e-08,5.736527966259585e-08
SNAP25,0.16847642,1.2744896203382053e-08,5.766921358996404e-08
CCDC109B,-0.20974378,1.2744447737096295e-08,5.766921358996404e-08
STC2,0.20123059,1.2938791192075359e-08,5.849363106724845e-08
ZMAT4,0.3576853,1.3048893702065128e-08,5.893809260192018e-08
CSTA,-0.55148494,1.3522288545734187e-08,6.102115769735644e-08
CLEC4GP1,0.66917384,1.354748210038811e-08,6.102469414589239e-08
APOBEC3D,-0.3191837,1.3543994918134362e-08,6.102469414589239e-08
ASPDH,0.24149735,1.4117244719718646e-08,6.347681978290759e-08
SLC25A45,-0.17683814,1.4107252037314435e-08,6.347681978290759e-08
C4orf31,-0.3663891,1.4261352508839678e-08,6.406717209721329e-08
STEAP2,0.16119187,1.4583474201805422e-08,6.545544973880351e-08
F5,0.3379564,1.4634653994565568e-08,6.562625109670658e-08
FAM84A,0.1273949,1.4681531720845107e-08,6.57774718675856e-08
RAP1GAP,0.102355085,1.4767156894778046e-08,6.610186613598052e-08
FAM19A1,0.40783334,1.4823680411390783e-08,6.629552956793731e-08
GDPD2,-0.19460082,1.5549413593516233e-08,6.941702497105461e-08
HLA-DOB,-0.42223695,1.5539536692682186e-08,6.941702497105461e-08
SYNC,-0.18267006,1.569358911651444e-08,6.999816733503319e-08
C1orf130,-0.48598814,1.6095331547871464e-08,7.17260764165395e-08
C11orf93,-0.28450462,1.643931231813659e-08,7.319373249392962e-08
LOC100270710,-0.23226237,1.6463289049441193e-08,7.32352715722473e-08
TREM1,-0.68658274,1.7656419911542157e-08,7.83539884723823e-08
CYP19A1,-0.3629837,1.766098900167497e-08,7.83539884723823e-08
SRPX2,-0.36751604,1.7651327551285288e-08,7.83539884723823e-08
EMP3,-0.28713867,1.8017561537016118e-08,7.986507773500053e-08
SERPING1,-0.14054541,1.834107998889715e-08,8.122710358236115e-08
CACNA2D3,0.27261427,1.8377307256764967e-08,8.131551883524321e-08
MC4R,0.5801802,1.879375834358579e-08,8.30846964791591e-08
C10orf79,-0.3017523,1.88694833021814e-08,8.330049015615978e-08
CSRP2,-0.11394549,1.8875891069385804e-08,8.330049015615978e-08
LOC100272216,-0.31361285,1.9085274979653528e-08,8.415024241469809e-08
MN1,0.107699975,1.9480353459759028e-08,8.581653506501775e-08
CCL22,-0.40438223,1.956603616738765e-08,8.611811693392451e-08
HOXB2,-0.583608,1.9874330595249723e-08,8.739811167655991e-08
MRGPRF,-0.21163094,2.0096112239253687e-08,8.829574797563131e-08
PCDHGC4,0.16261582,2.0167601806140318e-08,8.853205358270552e-08
TCTE1,0.2927141,2.1262062905919037e-08,9.325466186806595e-08
PNPLA3,0.32894742,2.1283662087514162e-08,9.326758145273517e-08
IRX1,-0.40050355,2.1436633739305332e-08,9.385566435772913e-08
OASL,-0.3152075,2.195087451044561e-08,9.602307309906217e-08
IGFBP5,-0.0963179,2.234236108843147e-08,9.765017958230536e-08
TBX4,-0.79706645,2.265320956985671e-08,9.892231253212536e-08
DYNC1I1,0.14206685,2.329677666094722e-08,1.0164387722926361e-07
PRDM8,0.18091135,2.3630946178971442e-08,1.0301197113762616e-07
CACNA1A,0.10998699,2.3918801402742435e-08,1.0408529766206455e-07
SCN3A,0.11312676,2.3918244170209452e-08,1.0408529766206455e-07
GOLGA7B,0.14105172,2.5258371874763756e-08,1.0981900815114676e-07
PIPOX,-0.13723789,2.5378624210168777e-08,1.102459783239304e-07
CYGB,0.23817103,2.5767904787849546e-08,1.1183986453059699e-07
SERINC2,-0.23815653,2.595626620745743e-08,1.1255969734370091e-07
ODF3L2,-0.35116214,2.599037186554217e-08,1.1260993009333697e-07
MAP3K9,0.25166067,2.6364684994069545e-08,1.1413283547216253e-07
AKAP5,0.17538431,2.659211125043631e-08,1.1501778222507055e-07
LOC100133669,0.35198954,2.7015591235035093e-08,1.1674844958960715e-07
TEAD4,-0.25874433,2.9011738840903663e-08,1.2526657530614706e-07
FZD7,-0.16761446,2.907685848264179e-08,1.2543942399759185e-07
SERPINH1,-0.11732775,2.9281726554086734e-08,1.2621433859520143e-07
GADD45A,-0.118928894,2.9702702199969962e-08,1.279186141256243e-07
CXorf64,-0.59548336,3.0619119725964516e-08,1.3175180604976127e-07
ZMYND12,-0.28567472,3.152158472421554e-08,1.3551842099834712e-07
RGS1,-0.19045205,3.1979976246458316e-08,1.3737103198650478e-07
COL4A6,-0.30640298,3.27881541913108e-08,1.4072169180820085e-07
C8orf84,-0.23199715,3.362174346530513e-08,1.4417557232120555e-07
NEAT1,-0.101471215,3.4237223299912025e-08,1.4668904584366763e-07
ENDOU,0.23248579,3.44446387703248e-08,1.4745136459899315e-07
LOXL4,-0.4241987,3.463289144256363e-08,1.4809537047725433e-07
HSPA12A,0.099501595,3.465431669167752e-08,1.4809537047725433e-07
NRXN1,0.09800492,3.511762178493587e-08,1.4994714681868433e-07
WWTR1,-0.17209022,3.579520879128567e-08,1.5270993511640644e-07
EPSTI1,-0.21624477,3.696768751726196e-08,1.5757752564902794e-07
AMIGO2,-0.23894574,3.709140155253242e-08,1.579701940056747e-07
ICOSLG,-0.1300774,3.7456861408630374e-08,1.593908996111931e-07
NT5C1A,0.43958542,3.794831568588927e-08,1.6134487961687615e-07
NEUROD1,0.25921082,3.8180318957562995e-08,1.6219336855379352e-07
C5orf20,-0.6433279,3.8375119590935804e-08,1.6288251099718083e-07
KCNC2,0.38276744,3.870969356752268e-08,1.6416324668160593e-07
PVALB,0.6609395,4.069260888082821e-08,1.724263088170687e-07
SLC17A6,0.49532273,4.10812191666402e-08,1.739255680213387e-07
NEUROD4,0.6107838,4.211203792040338e-08,1.781389082927385e-07
KLHL4,-0.18408427,4.231652555808178e-08,1.788526016825096e-07
PPFIA2,0.17105629,4.278901570667005e-08,1.8069685686938363e-07
PAH,0.36123168,4.364498326599057e-08,1.841560475358252e-07
DPYD,-0.1675566,4.38192168362674e-08,1.8473531549859782e-07
C3orf15,-0.2204178,4.489494154318843e-08,1.8911095848015345e-07
MAGEL2,0.15365826,4.529411931617915e-08,1.9063181530378432e-07
FAM46C,-0.23019515,4.6578014199646314e-08,1.958705391070072e-07
OAS2,-0.14661981,4.6907148262658695e-08,1.970888582464651e-07
CNTNAP2,0.16201676,4.720372892482149e-08,1.9816846735861247e-07
LINGO4,0.47133037,4.8368426485378794e-08,2.02887694989005e-07
CSMD1,0.16170193,4.8597658784741945e-08,2.0367836875415736e-07
LAMP3,-0.38442895,5.003747984310801e-08,2.095371852726466e-07
PRSS55,-0.6069704,5.030892942508969e-08,2.1049761265727904e-07
STX1B,0.107569896,5.0489158218841325e-08,2.110750761657246e-07
KIT,0.1407758,5.071639967423718e-08,2.1184795185562733e-07
SH2D4A,-0.44804433,5.118083290505239e-08,2.1360948624813182e-07
CXorf57,0.14611493,5.229884498415165e-08,2.180935987662704e-07
RANBP17,0.25835642,5.2743729137666745e-08,2.1976553807361145e-07
ECHDC3,-0.27880815,5.281015805939766e-08,2.1985910932305438e-07
CDSN,-0.58208823,5.375584471594008e-08,2.2361000297812012e-07
SYT13,0.25696778,5.544893733928561e-08,2.3046108619819455e-07
ACADL,-0.44146952,5.63914388622466e-08,2.3418371620534302e-07
CEACAM4,-0.57294065,5.731556112249912e-08,2.3782390507261047e-07
LRG1,-0.31307742,5.7375737962264814e-08,2.3787619387340306e-07
OAS1,-0.16612077,5.7443722380544076e-08,2.379607389417733e-07
DUSP4,0.28149894,5.786956214443536e-08,2.3952633337928543e-07
DLGAP3,0.1675336,5.7930569370795544e-08,2.395805184896425e-07
ATRNL1,0.1164566,5.8164535971331187e-08,2.4034932219558344e-07
EMR1,-0.60242784,5.9066684470248275e-08,2.438756584238162e-07
GFOD1,0.15925421,6.093056824852868e-08,2.513637303982206e-07
SYN3,0.18749343,6.25152577955642e-08,2.576886141614353e-07
COL8A1,-0.50672364,6.33845817246034e-08,2.610567616334572e-07
SILV,-0.4249645,6.652666139114191e-08,2.737722690993494e-07
NFATC2,-0.3162399,6.666608055612431e-08,2.7412039702353744e-07
CDH13,0.122255325,6.824228992058119e-08,2.8037095283722756e-07
PRICKLE3,-0.23969679,6.875143320913832e-08,2.8223084240204566e-07
SHANK1,0.18854794,6.98209169281059e-08,2.8638604154268215e-07
ITGB3,-0.2852826,7.074017847573586e-08,2.899187642448191e-07
PSORS1C1,-0.570445,7.3232748055167e-08,2.99888403174312e-07
P2RY8,-0.3107733,7.339275558544853e-08,3.002976906114915e-07
MFAP2,-0.4843993,7.453976167025283e-08,3.0474146226595593e-07
EMR4P,-0.3640417,7.622117418564789e-08,3.1136100566032634e-07
FHDC1,0.15749188,7.673920429902972e-08,3.13221242036856e-07
ISL2,-0.8239217,8.03073386414397e-08,3.275176942962467e-07
STON1,-0.114204966,8.18250391398993e-08,3.33435367318253e-07
KCNH1,0.1557847,8.378765290608563e-08,3.411549385426939e-07
ZDHHC11,0.16650592,8.583185548919509e-08,3.4919387912609886e-07
ACOX2,-0.14728849,8.603271005433075e-08,3.4972646363549084e-07
LRRTM3,0.11074343,8.704623709036917e-08,3.535590458585263e-07
SDC4,-0.17709973,8.754625259599207e-08,3.5530134982139637e-07
UMODL1,-0.6398969,8.834688663156766e-08,3.582598809066004e-07
NXF4,0.87439674,8.902431445666898e-08,3.6071440217450963e-07
SHISA6,0.3922828,9.011652080779543e-08,3.6455488405079974e-07
GCOM1,-0.31284818,9.01179673373577e-08,3.6455488405079974e-07
HCRTR1,0.7853283,9.219500738680465e-08,3.7265564828942866e-07
C1orf110,-0.82931113,9.305722652210209e-08,3.758369407193138e-07
KCNH4,0.27088743,9.507906208261934e-08,3.8369274448191825e-07
HSPA7,-0.3645458,9.648952373603037e-08,3.8907066022592893e-07
DCAF4L2,-0.83224297,9.698176028848609e-08,3.9074037183112846e-07
CFB,-0.1768182,9.852004647171907e-08,3.9661854457213796e-07
COPZ2,-0.14782313,9.991893646309365e-08,4.0192653444526815e-07
WDR38,-0.85171336,1.0167518157918953e-07,4.0866230538259457e-07
CCL2,-0.216546,1.0223306483172847e-07,4.1057455755714245e-07
ADAMTS15,-0.3442589,1.029391542464551e-07,4.1307846808368817e-07
TRIM6,-0.2367088,1.0604610158530751e-07,4.25204898096662e-07
DIO2,0.18081334,1.0659079700201063e-07,4.27046462347799e-07
TNFRSF11A,-0.26101995,1.0706006458727674e-07,4.2824025834910697e-07
TRIM22,-0.10025661,1.070186191979916e-07,4.2824025834910697e-07
AHR,-0.1380188,1.0782284157966711e-07,4.309466090314433e-07
ASIP,-0.5124781,1.0826069863995767e-07,4.323510329071792e-07
SCG3,0.09319493,1.0851981527459581e-07,4.330399651819466e-07
TLL1,0.40656534,1.1179603290261593e-07,4.4575770694822933e-07
OPCML,0.12553486,1.1426823699109627e-07,4.5525194020357076e-07
SLC1A6,0.26752937,1.156893369688991e-07,4.605467236023054e-07
C10orf105,-0.29858038,1.1599938548473223e-07,4.612379800345022e-07
MMP7,-0.7955453,1.1604747577668074e-07,4.612379800345022e-07
MYO16,0.14362034,1.1708233003282035e-07,4.6498145366489413e-07
CAPS,-0.13950574,1.1757287376019654e-07,4.665590228579228e-07
PSD2,0.09397262,1.1856546627770204e-07,4.7012476715980194e-07
ARSI,-0.25121278,1.1907937644527388e-07,4.71788337738803e-07
MARVELD1,-0.14581415,1.201472389807572e-07,4.7564227625002855e-07
LOC202181,-0.22580603,1.2047372126159683e-07,4.765574416993545e-07
SPTLC3,-0.18140864,1.2072955132017137e-07,4.771919024512703e-07
HOXA5,-1.4081411,1.218300173872636e-07,4.811612061108358e-07
ARPP21,0.12980025,1.282640594519424e-07,5.061722946011933e-07
FGF12,0.10758746,1.3063584078715633e-07,5.151255551544019e-07
IQUB,-0.27635354,1.3096315488031696e-07,5.160092784882464e-07
CACNG8,0.4450272,1.3123963586656836e-07,5.166914797896392e-07
HOXA9,-1.5266201,1.3232464596877906e-07,5.205532886261962e-07
D4S234E,0.14154886,1.367349437702869e-07,5.374801248832032e-07
C9orf4,0.3148641,1.3739560870416205e-07,5.396528228757347e-07
NGF,0.43071556,1.411107145321027e-07,5.538097116644533e-07
ANGPTL2,0.08748242,1.459826042769629e-07,5.72480801086129e-07
C6orf208,0.30095953,1.5128479822756859e-07,5.92808770484203e-07
IL2RG,-0.24335481,1.5245811386192483e-07,5.969385820748819e-07
C9orf122,0.29245478,1.5281455898425352e-07,5.978660367146069e-07
FAM180B,-0.4979233,1.5598094019049498e-07,6.095406586624488e-07
GLS2,0.2790449,1.560424086175869e-07,6.095406586624488e-07
BCL2A1,-0.32957768,1.607414204040961e-07,6.2740601250623e-07
MORC1,-0.5611061,1.6561421956276294e-07,6.458129846250603e-07
NRXN3,0.16247308,1.657156118547905e-07,6.458129846250603e-07
CLEC4F,0.3440645,1.6619410608880542e-07,6.47173310314663e-07
EMR2,-0.19705269,1.6792879909254238e-07,6.534194517219548e-07
DSCAML1,0.12744102,1.682046640392893e-07,6.539839192818403e-07
GPR61,0.28985834,1.6844988973356507e-07,6.544284760433763e-07
HLA-DQB1,-0.20951547,1.6869374800928684e-07,6.548670341975421e-07
VAT1L,0.13173547,1.6905498251367213e-07,6.557602114572232e-07
KCNH8,0.15032278,1.7722045466866737e-07,6.86900987087858e-07
ITPKA,0.17344429,1.8048867865198862e-07,6.990266407900412e-07
N4BP3,0.16299637,1.8911337927104925e-07,7.318629228755775e-07
OSMR,-0.17826357,1.9031966487389265e-07,7.359615811055401e-07
HOXB3,-0.71979165,1.9323989693403125e-07,7.466765723880652e-07
PTPRT,0.16880476,1.9487532348375355e-07,7.524143763851488e-07
GUCY1B3,0.10636325,1.9652401667751124e-07,7.581945087866946e-07
THSD4,0.13426289,1.986937150949041e-07,7.659742293558369e-07
AGBL2,-0.49267015,2.0033204015196397e-07,7.716950699228196e-07
HOXB4,-0.8978109,2.0067963225746843e-07,7.724389232389086e-07
TBC1D10C,-0.27315605,2.019408523830729e-07,7.766955860887418e-07
NDP,-0.10625919,2.027909611471582e-07,7.793657230866957e-07
FAM81A,0.15495652,2.0426352367371412e-07,7.844221339236333e-07
LHX9,-0.5713283,2.0447100793224018e-07,7.84616300584191e-07
TTC9B,0.19658293,2.0577685716951637e-07,7.890216916009065e-07
PLP2,-0.15639192,2.073033113567177e-07,7.942655607537077e-07
SLAMF8,-0.2228075,2.0907456012226423e-07,8.00438591586004e-07
CYR61,-0.17278999,2.1269638679738002e-07,8.13681663341163e-07
NKD2,0.17678249,2.185079230535053e-07,8.352749352198215e-07
PVT1,-0.30657113,2.2100294064838377e-07,8.439584339834895e-07
TMC1,-0.37135923,2.2111710970367427e-07,8.439584339834895e-07
C1orf65,0.6053671,2.226455169416783e-07,8.491438479850432e-07
APOC1,-0.09316774,2.263998083217597e-07,8.628041475676817e-07
FOXA3,-0.73089457,2.2661925007819541e-07,8.629826735651005e-07
IRAK2,-0.14715964,2.3017688909870756e-07,8.758633527348082e-07
CYP4F12,-0.544621,2.3208866417734057e-07,8.824664037161238e-07
GMPR,-0.1687958,2.328300453105429e-07,8.846126341585977e-07
SECTM1,-0.23466198,2.3505273055178927e-07,8.923793870607033e-07
IFITM3,-0.08840805,2.4196584677503987e-07,9.17928098539605e-07
E2F2,-0.28637844,2.4234753365155796e-07,9.186790509915011e-07
SPINK5,1.0548714,2.4427465391230355e-07,9.252827799708468e-07
SFTPC,0.2712262,2.4813365118929624e-07,9.391886873175483e-07
PDE4D,0.112021364,2.4989671406283875e-07,9.451464223254112e-07
TRIM48,-2.6159194,2.507004903868995e-07,9.474697293533617e-07
AHNAK,-0.06831782,2.5255978238256697e-07,9.537756132272166e-07
C1orf187,-0.25474268,2.5425650698827784e-07,9.594585169368974e-07
HS6ST2,0.1379519,2.576378473592171e-07,9.714850956229906e-07
ABLIM2,0.11495472,2.6286545551716544e-07,9.904500961460642e-07
RBM46,-0.7752994,2.6938338245744653e-07,1.014244662866892e-06
LFNG,-0.10134898,2.710500200619169e-07,1.0189850378267551e-06
FAM114A1,-0.16330363,2.7101105939571147e-07,1.0189850378267551e-06
CACNA1G,0.19748652,2.727453345725378e-07,1.0245880337060024e-06
PLCXD2,0.13414067,2.729623956302492e-07,1.024633617230665e-06
LPPR1,0.12505743,2.73438206893541e-07,1.025649688272847e-06
GTF2A1L,-0.6532841,2.7951772975325584e-07,1.0476676527483353e-06
CABP1,0.21809047,2.829249150004835e-07,1.059643876406305e-06
WDR86,0.18891099,2.8578439932917424e-07,1.0687524283065603e-06
STYK1,0.52898973,2.8574526261414827e-07,1.0687524283065603e-06
ST6GALNAC2,-0.2824608,2.8696389590342805e-07,1.072361344930598e-06
SERPINI2,-0.3488688,2.928167169803116e-07,1.0934156720698716e-06
JAKMIP3,0.13591309,2.943278914562219e-07,1.0982384009560517e-06
NLRP4,-0.65581775,2.984287967289104e-07,1.111880762775374e-06
LRRC39,-0.22342621,2.983759227051714e-07,1.111880762775374e-06
CCL25,-0.5892869,3.0065484222482554e-07,1.1193404401519939e-06
PGA3,-0.53829366,3.014437561090128e-07,1.1211216869129355e-06
ZNF257,0.29857528,3.0158173377957965e-07,1.1211216869129355e-06
COL4A4,0.17642717,3.023682786474419e-07,1.1232105447527559e-06
SLC35F3,0.29482096,3.074272442108739e-07,1.1411553237226203e-06
KCNF1,0.12850714,3.087929675444229e-07,1.1453745086959307e-06
XKR8,-0.16876853,3.2363057796365067e-07,1.1995203037941092e-06
TDRD5,0.46775046,3.284812598980798e-07,1.2165972588817771e-06
MYH7B,0.16507705,3.2965487472938673e-07,1.2200402469629412e-06
NRG1,0.37238127,3.393285532847581e-07,1.254913288774993e-06
CXCR6,-0.6221731,3.438304094042701e-07,1.2706223555220625e-06
LSP1,-0.20312534,3.4431365974950947e-07,1.2714684628859287e-06
SLC44A5,-0.15879676,3.548407118907367e-07,1.3093753206300245e-06
SLC6A13,0.2039488,3.57997686971525e-07,1.3200504681840892e-06
LOC374491,0.4324128,3.624092123642911e-07,1.3353323963312127e-06
FGFBP3,0.11249535,3.628309959231563e-07,1.3359020468452e-06
SLITRK1,0.17079353,3.631063744676961e-07,1.335932209226255e-06
CCDC153,-0.40450302,3.6359644315305754e-07,1.336751629239182e-06
F3,-0.12205072,3.666356299341881e-07,1.3469347168779872e-06
PSTPIP2,-0.18650834,3.715061779855488e-07,1.3638259103727931e-06
MFSD4,0.14196101,3.723978429910475e-07,1.3660962692261462e-06
ADM2,-0.43153518,3.774574483510127e-07,1.3826280159377754e-06
HOXD9,-0.85371315,3.7730801831295347e-07,1.3826280159377754e-06
HSPB7,-0.22936997,3.836203070176543e-07,1.4041738909870214e-06
SH2D1A,-0.5121511,3.9639395753589633e-07,1.4498681694802354e-06
KLK14,-0.35682476,4.10580888811518e-07,1.5006611433169515e-06
ITGA2B,0.2507048,4.1401417903710005e-07,1.5121043792443391e-06
CASQ1,0.12319896,4.1447733142990315e-07,1.5126909906200843e-06
ECE2,0.11343585,4.154731708925112e-07,1.5152194416211204e-06
VSTM1,-1.3201451,4.196646627691662e-07,1.529390170441568e-06
EIF3C,0.13244012,4.3727618615202843e-07,1.5924114572178748e-06
BCMO1,-0.21222824,4.427189570999088e-07,1.609887116726941e-06
MFAP5,-0.51503736,4.427084593581574e-07,1.609887116726941e-06
CD2,-0.5015625,4.560870668462152e-07,1.657293120807468e-06
LONRF3,-0.20432574,4.5673039119828515e-07,1.6584255308579708e-06
RXFP1,0.5467669,4.622839183416654e-07,1.677372708061195e-06
AGAP2,0.104011126,4.6689065296976644e-07,1.6928595104052445e-06
GNG13,0.63298696,4.86135594909592e-07,1.76136085112171e-06
PRKAR1B,0.089306444,5.328106572170425e-07,1.9290755149060193e-06
C8orf79,0.20178637,5.376096865331687e-07,1.94504228123433e-06
ZNF727,0.35062912,5.422290901483438e-07,1.9603365515124505e-06
PNMA6A,0.13173531,5.433592280602663e-07,1.963002991547205e-06
RASSF10,-0.7005055,5.67768340168654e-07,2.0497051991648156e-06
COLEC12,-0.1326682,5.72727743050672e-07,2.0661173991726987e-06
TOX,0.1049247,5.780802325076759e-07,2.08392297226992e-06
SLC25A43,-0.1664889,5.797249318996373e-07,2.088346296468434e-06
C2orf80,0.15584305,5.94180109499222e-07,2.138877284014478e-06
ADAMTS2,0.24306267,6.032720680476604e-07,2.1700434102433827e-06
FGFRL1,-0.11204073,6.089365325758403e-07,2.1888444736730418e-06
FGFR2,-0.11557708,6.103020281262693e-07,2.190789095913987e-06
TMIGD2,-0.2382047,6.103538421216368e-07,2.190789095913987e-06
TRIM74,-0.5264088,6.137038049892108e-07,2.201233159932607e-06
OXTR,-0.19329433,6.199386411698455e-07,2.2220022980998048e-06
BTBD17,0.14872995,6.277800208817332e-07,2.2484957767970386e-06
FLJ26850,-0.30875647,6.282953356880422e-07,2.248730621646536e-06
LRRK1,-0.12122499,6.367451036714871e-07,2.2773430031169062e-06
C1QL4,-0.3010254,6.509728194122274e-07,2.326564758442557e-06
APOL1,-0.12410248,6.56235559422785e-07,2.342738748394658e-06
RPS6KA6,0.27597386,6.564353973001832e-07,2.342738748394658e-06
AMPD3,-0.109524,6.65209193377448e-07,2.372358036296177e-06
PGA5,-0.7572511,6.868173010768694e-07,2.4476739168812168e-06
NPTXR,0.07915988,6.961109013732677e-07,2.479027426542976e-06
REM1,-0.36224836,7.144106168119183e-07,2.542386536697218e-06
MEP1A,-0.47215518,7.201318884513207e-07,2.560924212131297e-06
HRNBP3,0.26893827,7.211439033625886e-07,2.5627004383887303e-06
VWA3B,-0.25445688,7.243167481869416e-07,2.5721475432774915e-06
FAM163B,0.32439715,7.33491896033323e-07,2.602881107286455e-06
CPNE4,0.32080632,7.371195304845282e-07,2.6138990442713767e-06
GABRB1,0.21932644,7.41349611641891e-07,2.6270361858323563e-06
ALK,0.20316188,7.421104493876952e-07,2.6278698632708755e-06
ATP6V1G2,0.08585769,7.63189244345299e-07,2.7005988830336127e-06
VAX2,0.14966108,7.647490551206657e-07,2.7038868478483555e-06
ROBO1,0.086734585,7.651999779410845e-07,2.7038868478483555e-06
FCAR,-0.5532856,7.728067353608383e-07,2.7288373423758414e-06
PPARGC1B,0.22405513,7.800850557093584e-07,2.752593703985033e-06
LAMB4,-0.49567086,7.908174975552432e-07,2.788496112677162e-06
CCDC89,-0.24126044,7.935879776029527e-07,2.796293085281722e-06
PLAT,-0.15699466,8.25227106731888e-07,2.905729249055944e-06
CYSLTR1,-0.23241037,8.340982050404561e-07,2.9348986806490364e-06
KCNMB1,-0.1735546,8.468548455394169e-07,2.9776893303073734e-06
PLEKHG4,-0.20503053,8.480185879707201e-07,2.979685832644835e-06
RIBC2,-0.7202138,8.489029276187526e-07,2.9806984818074176e-06
?|90288,-0.34776333,8.507934024648234e-07,2.9852400086485033e-06
RAB3A,0.12794018,8.66479606519211e-07,3.0381472879355224e-06
FAM5B,0.097575344,8.915164891554079e-07,3.1237438302572107e-06
C1orf175,-0.2402536,8.992487879423064e-07,3.148630209882025e-06
C7orf57,-0.6684033,9.082414783737876e-07,3.177891806766227e-06
RCOR2,0.12416629,9.200352557427996e-07,3.2169064886111875e-06
EGR2,-0.19075283,9.240386480789666e-07,3.228646569108898e-06
PGCP,-0.115517735,9.353716770365729e-07,3.2659625594852406e-06
GLI1,-0.3612487,9.436228912101301e-07,3.2924734515356943e-06
CAV1,-0.12958938,9.453225771653704e-07,3.296103825541738e-06
HIST1H3E,-0.30514064,9.478776520755361e-07,3.302709589113366e-06
EPHA4,-0.13113903,9.525466292166391e-07,3.3166665362696344e-06
PRSS23,-0.110141724,9.838697556814195e-07,3.42334640111837e-06
MCHR1,0.21765113,9.971556868670737e-07,3.467161637229046e-06
CITED1,-0.1648561,1.0070073828017912e-06,3.498983261993715e-06
CXCR3,-0.72182286,1.0167987093608755e-06,3.5305510741697068e-06
FGFBP2,-0.38986298,1.0206530910405792e-06,3.541474986261552e-06
FXYD7,0.23935786,1.04591036167594e-06,3.6265962610122744e-06
DUSP27,-0.237133,1.0777999777465896e-06,3.73458065747259e-06
CDC20,-0.24294211,1.083986113867291e-06,3.7534145217011463e-06
DNAJC22,-0.23157294,1.099979330411e-06,3.8035246556396952e-06
OGDHL,0.20055683,1.0998548380828793e-06,3.8035246556396952e-06
ADAMTS7,-0.21649265,1.1265803535048517e-06,3.892813937473572e-06
NCAN,0.0869736,1.1318044878131656e-06,3.908164667863141e-06
CYP2B7P1,-0.24936548,1.134326866383292e-06,3.9141713815848585e-06
FLJ43390,0.21226868,1.1454427580513827e-06,3.9498026139702855e-06
RYR1,-0.11147086,1.1525844337838493e-06,3.971689985471569e-06
C9orf170,-0.28600746,1.167062763191034e-06,4.018811168013203e-06
C10orf107,-0.2379033,1.2412594896676513e-06,4.2713678240456e-06
C5orf25,-0.186215,1.244188665796432e-06,4.27850297729172e-06
