class,direction,rank,gene,coef
Oligoastrocytoma,negative,18,C13orf39,-0.08325409263936709
Oligoastrocytoma,negative,19,WBSCR27,-0.0821382039656658
Oligoastrocytoma,negative,20,TMED7-TICAM2,-0.08104947740190747
Oligoastrocytoma,negative,21,IL13RA2,-0.08099350673329035
Oligoastrocytoma,negative,22,LOC220594,-0.08090183576565119
Oligoastrocytoma,negative,23,PCDHGB4,-0.08037496709018717
Oligoastrocytoma,negative,24,RHOXF1,-0.0799770114528846
Oligoastrocytoma,negative,25,HLA-G,-0.07990451845912044
Oligodendroglioma,positive,1,RGPD8,0.12440595697921336
Oligodendroglioma,positive,2,FAM3B,0.11102383687595885
Oligodendroglioma,positive,3,PEG3AS,0.10970793830541431
Oligodendroglioma,positive,4,TAT,0.09630972946788179
Oligodendroglioma,positive,5,SH2D6,0.09443366774512364
Oligodendroglioma,positive,6,GPR128,0.09419653302619345
Oligodendroglioma,positive,7,TBC1D3C,0.0906040896076705
Oligodendroglioma,positive,8,TMED7-TICAM2,0.08972461869070197
Oligodendroglioma,positive,9,ACTG2,0.08923915926430137
Oligodendroglioma,positive,10,UPK3BL,0.08861992557529878
Oligodendroglioma,positive,11,CEACAM5,0.08812740220805289
Oligodendroglioma,positive,12,ADAM32,0.0874767840657293
Oligodendroglioma,positive,13,PCDHGB4,0.08588719767691659
Oligodendroglioma,positive,14,CTSK,0.08580193941126973
Oligodendroglioma,positive,15,CHRDL2,0.08563620882174211
Oligodendroglioma,positive,16,PCDHGB5,0.08501700405290899
Oligodendroglioma,positive,17,SLC10A6,0.08250312864023125
Oligodendroglioma,positive,18,PPBP,0.08208425453155718
Oligodendroglioma,positive,19,CAPN9,0.08133348469839789
Oligodendroglioma,positive,20,PRND,0.07933685555019092
Oligodendroglioma,positive,21,TDRD5,0.07841774152091467
Oligodendroglioma,positive,22,GPR101,0.07646656087008769
Oligodendroglioma,positive,23,LDHC,0.07545733912640147
Oligodendroglioma,positive,24,RHCE,0.07395929463333242
Oligodendroglioma,positive,25,KRT13,0.07380326712488884
Oligodendroglioma,negative,1,PRAME,-0.13999898321943324
Oligodendroglioma,negative,2,TTLL2,-0.10459660430244455
Oligodendroglioma,negative,3,SBSN,-0.09411786632914292
Oligodendroglioma,negative,4,RIPK4,-0.09331477336041083
Oligodendroglioma,negative,5,PCDHA12,-0.09277409359184811
Oligodendroglioma,negative,6,PCDHA13,-0.09154005044442824
Oligodendroglioma,negative,7,LOC100240726,-0.09076144613358286
Oligodendroglioma,negative,8,HCG2P7,-0.09043532174897265
Oligodendroglioma,negative,9,CT45A3,-0.09014839845821616
Oligodendroglioma,negative,10,PLA2R1,-0.08602368756978289
Oligodendroglioma,negative,11,SLC4A11,-0.08565059237839136
Oligodendroglioma,negative,12,IVL,-0.08551801324213978
Oligodendroglioma,negative,13,PRG4,-0.08444226490054488
Oligodendroglioma,negative,14,LEKR1,-0.08442152980037196
Oligodendroglioma,negative,15,FOXD3,-0.08303896223159123
Oligodendroglioma,negative,16,ACTC1,-0.08244164307133461
Oligodendroglioma,negative,17,FOXE1,-0.08156828601902785
Oligodendroglioma,negative,18,POLR2J2,-0.08144367497136785
Oligodendroglioma,negative,19,AQP7P1,-0.08063980403452334
Oligodendroglioma,negative,20,C3orf32,-0.08052730223670898
Oligodendroglioma,negative,21,AZU1,-0.07925880790747457
Oligodendroglioma,negative,22,CT45A1,-0.07899103761414211
Oligodendroglioma,negative,23,?|652919,-0.0785251182151905
Oligodendroglioma,negative,24,AQP7P3,-0.07713353087519156
Oligodendroglioma,negative,25,RPL13AP6,-0.07703547866368375
